Rank,#,Đề tài,Điểm,Tier,Tech Stack chính,Thời gian thực (tuần),Độ khó,Demo ấn tượng,Mới mẻ 2026,Tiềm năng thực tiễn
1,201,**Symbolic Malware Epidemic Simulator** (Mô phỏng lây lan mã độc symbolic),95,S,"Wolfram Language, Python (wolframclient), NetworkX, SIR/SEIR symbolic, Jupyter",10,Cao,Rất cao,Cực cao,Cao
2,202,**Hybrid AI-Symbolic Cryptanalysis Assistant** (Trợ lý phân tích mã hóa hybrid),94,S,"Wolfram Alpha API, Python, SymPy, SageMath, OpenAI API, Transformer",10,Cao,Rất cao,Cực cao,Cao
3,151,AI Agent Swarm for Security Testing,93,S,"Python, AutoGen, CrewAI, Metasploit",10,Cao,Rất cao,Cực cao,Cực cao
4,203,**Symbolic Attack Path Optimizer** (Tối ưu đường tấn công symbolic graph),93,S,"Wolfram Language, Python, Neo4j, GraphTheory, LLM reasoning, BloodHound",10,Cao,Cao,Cực cao,Cao
5,3,LLM / Agentic AI Security Gateway,91,S,"Python, FastAPI, LangChain, BERT",10,Cao,Rất cao,Cực cao,Cao
6,204,**Ransomware Spread Predictor (Symbolic Probability)** (Dự đoán lây lan ransomware symbolic),91,S,"Wolfram Language, Python, Markov Chain symbolic, Bayesian networks, Monte Carlo",10,Cao,Cao,Cực cao,Cao
7,201,AI Agent Identity & Access Management (AI-IAM),91,S,"Python/FastAPI, OPA, JWT, LangChain",10,Cao,Cao,Cực cao,Cực cao
8,205,**Educational Cryptographic Toolkit (RSA/ECC vs Post-Quantum)** (Công cụ mật mã giáo dục symbolic),90,S,"Wolfram Language, Python, SymPy, lattice crypto, Shor's algorithm sim",9-10,Cao,Cao,Cực cao,Trung bình
9,155,Real-time Deepfake Video Call Defense,89,S,"Python, WebRTC, FaceForensics++, ONNX",10,Cao,Rất cao,Cao,Cao
10,152,Browser Isolation Security Gateway,88,S,"Docker, WebRTC, NoVNC, Puppeteer",10,Trung bình-Cao,Cao,Cao,Cao
11,156,Autonomous SOC Response Bot,87,S,"Python, LangChain, SOAR API, TheHive",10,Cao,Cao,Cực cao,Cực cao
12,206,**Side-Channel Analysis with Arbitrary Precision** (Phân tích side-channel symbolic precision),87,S,"Wolfram Language, Python, MPFR, power analysis, timing attack symbolic",10,Cao,Cao,Cực cao,Trung bình
13,51,AI Red Team Operator,86,S,"Python, LangChain, Metasploit API",10,Cao,Cao,Cao,Cao
14,5,Ransomware Behavior Detection,86,S,"Python, Windows API, Scikit-learn, YARA",10,Trung bình,Rất cao,Trung bình,Cực cao
15,207,**Symbolic Vulnerability Scoring (CVSS 4.0 + Wolfram)** (Tính điểm lỗ hổng symbolic),86,S,"Wolfram Language, Python, CVSS 4.0 spec, decision tree symbolic, risk calculus",9-10,Trung bình,Trung bình,Cao,Cao
16,202,Shadow AI Discovery & Governance Tool,85,S,"eBPF/mitmproxy, ML classifier, Python",10,Trung bình-Cao,Cao,Cực cao,Cao
17,54,Deepfake Video Call Detection,85,S,"Python, OpenCV, FaceForensics++",10,Trung bình,Rất cao,Cao,Cao
18,208,**Graph Neural Network + Symbolic Centrality for Malware Propagation** (GNN kết hợp symbolic centrality),85,S,"Python, PyTorch Geometric, Wolfram Language, NetworkX, graph centrality symbolic",10,Cao,Cao,Cực cao,Cao
19,102,Browser Fingerprint Spoofing,84,A,"JavaScript, Canvas API, WebGL, AudioContext",8-9,Trung bình,Cao,Cao,Trung bình
20,2,Smart Contract Vulnerability Scanner,84,A,"Python, Slither, Mythril, GPT-4",10,Cao,Cao,Cao,Cao
