feature,importance
is_bare_domain,0.8106464
domain_length,0.12613744
num_dots,0.027636588
has_https,0.021256711
min_levenshtein_to_official,0.0026697442
url_length,0.0024517241
url_entropy,0.0012336394
num_subdomains,0.0011681103
letter_ratio,0.0010842675
num_hyphens,0.001081573
has_brand_keywords,0.0010121103
brand_in_domain,0.0009860168
digit_ratio,0.0009277127
combined_suspicious_score,0.0007110282
has_phishing_keywords_enhanced,0.0005784148
has_phishing_keywords,0.00041846582
num_special_chars,0.0
num_underscores,0.0
num_slashes,0.0
has_port,0.0
has_ip_address,0.0
has_at_symbol,0.0
has_double_slash_redirect,0.0
has_hex_encoding,0.0
path_depth,0.0
has_fragment,0.0
num_query_params,0.0
path_length,0.0
subdomain_depth,0.0
has_hyphen_in_domain,0.0
tld_suspicious,0.0
suspicious_tld,0.0
has_login_words,0.0
path_entropy,0.0
num_digits_in_path,0.0
is_typosquatting,0.0
is_brand_impersonation,0.0
is_official_domain,0.0
brand_mismatch_score,0.0
