url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_special_chars,digit_ratio,letter_ratio,has_port,url_entropy,domain_length,num_subdomains,has_ip_address,has_at_symbol,has_double_slash_redirect,tld_suspicious,has_hyphen_in_domain,subdomain_depth,path_length,num_query_params,has_fragment,path_depth,has_hex_encoding,num_digits_in_path,path_entropy,has_phishing_keywords,has_brand_keywords,has_https,has_login_words,suspicious_tld,brand_in_domain,is_official_domain,is_brand_impersonation,min_levenshtein_to_official,is_typosquatting,brand_mismatch_score,has_phishing_keywords_enhanced,combined_suspicious_score,is_bare_domain,label
25,1,1,0,3,0,0.0,0.76,0,3.9133,16,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.0,1,0,1,0,0,0,0,0,10,0,0,1,2,0,1
53,2,1,0,2,0,0.18867924528301888,0.6981132075471698,0,4.423,45,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,1
21,1,1,0,3,0,0.09523809523809523,0.6190476190476191,0,3.9395,6,0,0,0,0,0,1,0,7,0,0,1,0,2,2.8074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,2,1,0,2,0,0.22727272727272727,0.6363636363636364,0,4.6158,37,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1
21,1,1,0,2,0,0.09523809523809523,0.6666666666666666,0,3.9754,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
23,2,0,0,3,0,0.0,0.7391304347826086,0,3.969,8,1,0,0,0,0,0,1,7,0,0,1,0,0,2.5216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,1,0,0,2,0,0.0,0.7142857142857143,0,3.3788,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
39,2,2,0,3,0,0.15384615384615385,0.6410256410256411,0,4.3681,30,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,1
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.6169,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
30,2,0,0,2,0,0.0,0.8333333333333334,0,3.8817,23,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1
18,1,0,0,2,0,0.1111111111111111,0.6666666666666666,0,3.7255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.8269,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.5724,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0
83,3,0,0,3,0,0.0963855421686747,0.8192771084337349,0,4.7934,74,2,0,0,0,0,0,2,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,51,0,0,0,0,0,1
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.368,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.5725,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.5369,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
37,1,1,0,4,0,0.0,0.8108108108108109,0,4.0804,17,0,0,0,0,0,1,0,13,0,0,2,0,0,3.3927,1,1,0,1,0,1,0,1,8,0,1,1,7,0,1
46,2,0,0,2,0,0.391304347826087,0.5,0,4.3231,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1
38,2,1,0,3,0,0.02631578947368421,0.7894736842105263,0,4.0278,23,0,0,0,0,0,1,0,7,0,0,1,0,0,2.5216,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1
36,2,0,0,3,0,0.0,0.8333333333333334,0,4.3292,27,1,0,0,0,0,0,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1
36,2,1,0,2,0,0.2222222222222222,0.6111111111111112,0,4.3292,29,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.5766,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.7255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.9477,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
53,3,0,0,4,0,0.018867924528301886,0.8301886792452831,0,4.2821,29,1,0,0,0,0,0,1,16,0,0,2,0,0,3.625,1,0,1,1,0,0,0,0,6,0,0,1,2,0,1
22,1,0,0,3,0,0.0,0.7727272727272727,0,4.0615,7,0,0,0,0,0,0,0,7,0,0,1,0,0,2.8074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
39,2,2,0,4,0,0.0,0.7692307692307693,0,3.8627,22,1,0,0,0,0,1,1,9,0,0,2,0,0,2.9477,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.7255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
22,1,0,0,3,0,0.0,0.7727272727272727,0,3.9706,7,0,0,0,0,0,0,0,7,0,0,1,0,0,2.8074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.7255,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
